Date,Data1,Data2,Data3
10/8/2018,822,474,666
10/14/2017,599,636,270
6/17/2018,507,864,24
9/23/2017,820,529,999
7/15/2018,457,612,747
5/17/2017,629,336,2
5/23/2017,410,553,31
10/22/2017,426,626,992
12/10/2017,568,322,421
2/8/2018,615,293,740
11/20/2017,6,26,103
12/6/2018,125,765,487
1/20/2016,500,974,116
8/3/2016,287,856,426
2/27/2019,969,56,978
11/15/2016,413,616,289
5/17/2018,198,953,138
6/27/2015,815,151,760
10/17/2017,680,135,523
10/18/2016,430,576,871
11/26/2015,408,18,492
5/5/2017,448,500,815
4/19/2018,244,554,91
4/8/2016,259,41,942
7/25/2016,798,59,865
4/28/2017,149,933,224
2/8/2017,912,162,301
11/25/2017,511,786,37
2/19/2019,55,522,891
3/3/2017,819,376,244
5/6/2018,512,849,230
3/2/2016,714,370,242
11/5/2015,706,744,478
6/8/2018,85,488,734
4/25/2015,840,93,767
7/27/2018,586,133,716
6/30/2017,79,42,705
4/20/2015,993,888,997
6/7/2015,884,479,867
4/20/2015,269,25,647
9/2/2017,29,708,811
4/20/2017,11,67,524
3/20/2017,828,255,585
11/16/2015,270,889,977
11/9/2015,426,970,228
1/27/2019,568,728,211
9/3/2018,347,107,929
2/3/2017,314,428,554
9/29/2015,133,452,938
12/15/2016,461,43,686
8/26/2018,391,888,452
11/12/2015,223,418,455
3/1/2019,289,424,91
5/27/2018,584,943,616
1/8/2016,75,311,484
7/31/2016,418,936,546
9/15/2015,853,114,441
10/11/2015,282,712,517
1/2/2018,955,84,772
11/13/2016,826,955,534
12/27/2018,482,759,500
6/19/2017,960,496,244
7/4/2016,605,766,478
1/16/2017,657,359,52
4/5/2018,495,246,958
8/27/2018,113,93,11
7/5/2018,615,785,960
9/25/2017,697,538,801
1/25/2017,734,743,233
2/22/2018,579,497,306
12/27/2016,162,516,148
7/5/2016,20,986,800
12/3/2017,876,236,738
8/30/2015,408,643,284
10/8/2016,308,704,160
11/20/2018,993,118,905
4/30/2018,816,426,588
3/26/2018,243,502,914
7/18/2018,493,610,865
1/22/2018,811,46,7
3/18/2017,192,557,595
4/22/2017,839,835,534
3/4/2018,206,636,186
11/24/2016,168,108,622
9/13/2016,673,514,90
8/29/2015,884,488,120
10/14/2018,294,288,865
4/5/2016,454,601,418
9/22/2017,414,210,626
12/18/2016,230,628,877
3/27/2019,525,228,57
6/2/2016,344,195,489
5/2/2015,573,41,76
10/24/2017,49,452,458
12/2/2015,132,732,625
6/17/2017,892,8,612
8/31/2017,596,167,26
11/11/2016,647,71,430
4/11/2016,120,992,718
5/14/2018,858,668,311
11/12/2016,770,611,298
5/29/2016,112,597,785
3/31/2017,717,314,857
7/1/2017,8,119,651
6/3/2015,745,139,756
7/29/2018,343,846,86
3/8/2018,84,418,826
10/17/2016,226,912,380
7/4/2017,115,281,73
9/1/2018,760,977,848
1/31/2018,110,446,329
10/16/2017,251,713,642
1/17/2017,309,535,432
3/24/2017,56,680,341
10/8/2015,87,953,132
6/29/2017,970,693,6
1/21/2019,678,403,796
6/7/2016,664,863,523
9/17/2018,174,306,852
1/1/2018,762,20,76
7/9/2018,626,221,349
10/9/2018,167,875,522
